Strategy,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-11 09:35:00,2023-12-11 23:00:00,MCX COPPER,717.7,713.75,7500,-1,29625.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-12 18:45:00,2023-12-12 23:01:00,MCX COPPER,716.0,714.8,7500,1,-9000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-13 14:52:00,2023-12-13 23:02:00,MCX COPPER,711.4,714.0,7500,-1,-19500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-15 13:45:00,2023-12-15 19:06:00,MCX COPPER,728.65,724.65,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-18 12:50:00,2023-12-18 13:46:00,MCX COPPER,724.15,723.9,7500,-1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-18 21:20:00,2023-12-18 23:00:00,MCX COPPER,722.8,721.45,7500,1,-10125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-19 23:00:00,2023-12-19 23:00:00,MCX COPPER,727.0,727.0,7500,-1,-0.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-20 12:15:00,2023-12-20 15:29:00,MCX COPPER,727.8,728.05,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-20 17:56:00,2023-12-20 23:02:00,MCX COPPER,725.6,726.1,7500,-1,-3750.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-27 14:40:00,2023-12-27 20:58:00,MCX COPPER,735.95,739.95,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-28 15:05:00,2023-12-28 23:00:00,MCX COPPER,735.5,734.55,7500,-1,7125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-12-29 19:56:00,2023-12-29 23:01:00,MCX COPPER,729.85,730.4,7500,-1,-4125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-02 19:00:00,2024-01-02 23:00:00,MCX COPPER,730.0,730.4,7500,-1,-3000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-03 17:50:00,2024-01-03 23:01:00,MCX COPPER,725.45,727.2,7500,-1,-13125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-04 17:05:00,2024-01-04 20:33:00,MCX COPPER,725.7,724.45,7500,-1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-05 15:30:00,2024-01-05 19:33:00,MCX COPPER,722.1,726.1,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-08 13:20:00,2024-01-08 18:30:00,MCX COPPER,721.4,720.15,7500,-1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-08 20:55:00,2024-01-08 23:00:00,MCX COPPER,720.65,720.6,7500,1,-375.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-09 14:55:00,2024-01-09 23:00:00,MCX COPPER,720.05,714.45,7500,-1,42000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-10 14:10:00,2024-01-10 23:00:00,MCX COPPER,715.9,714.95,7500,1,-7125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-11 12:36:00,2024-01-11 22:17:00,MCX COPPER,720.0,716.0,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-12 20:00:00,2024-01-12 23:00:00,MCX COPPER,716.25,712.5,7500,-1,28125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-15 11:35:00,2024-01-15 23:00:00,MCX COPPER,714.2,716.1,7500,1,14250.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-16 14:40:00,2024-01-16 23:00:00,MCX COPPER,716.0,715.65,7500,1,-2625.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-17 19:10:00,2024-01-17 23:00:00,MCX COPPER,714.55,712.65,7500,-1,14250.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-18 14:56:00,2024-01-18 21:50:00,MCX COPPER,713.4,713.15,7500,-1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-22 17:35:00,2024-01-22 23:00:00,MCX COPPER,715.9,714.95,7500,-1,7125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-24 09:20:00,2024-01-24 13:13:00,MCX COPPER,716.5,720.5,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-24 14:55:00,2024-01-24 15:36:00,MCX COPPER,724.0,724.25,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-24 18:20:00,2024-01-24 23:03:00,MCX COPPER,722.35,722.55,7500,-1,-1500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-25 10:33:00,2024-01-25 21:29:00,MCX COPPER,723.5,725.75,7500,1,16875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-29 17:40:00,2024-01-29 23:00:00,MCX COPPER,729.65,732.25,7500,1,19500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-30 11:30:00,2024-01-30 23:01:00,MCX COPPER,730.85,734.4,7500,1,26625.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-01-31 11:15:00,2024-01-31 19:58:00,MCX COPPER,732.7,736.7,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-01 22:55:00,2024-02-01 23:01:00,MCX COPPER,727.0,727.15,7500,1,1125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-02 15:10:00,2024-02-02 23:00:00,MCX COPPER,722.55,722.5,7500,1,-375.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-06 18:30:00,2024-02-06 23:00:00,MCX COPPER,716.95,717.6,7500,1,4875.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-08 14:41:00,2024-02-08 23:03:00,MCX COPPER,711.75,705.6,7500,-1,46125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-09 11:08:00,2024-02-09 20:11:00,MCX COPPER,706.15,702.15,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-12 09:36:00,2024-02-12 13:26:00,MCX COPPER,702.05,701.8,7500,-1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-12 20:45:00,2024-02-12 23:00:00,MCX COPPER,705.55,708.0,7500,1,18375.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-13 16:00:00,2024-02-13 23:01:00,MCX COPPER,712.0,708.15,7500,1,-28875.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-14 22:10:00,2024-02-14 23:00:00,MCX COPPER,705.45,705.35,7500,-1,750.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-16 09:15:00,2024-02-16 20:10:00,MCX COPPER,714.95,721.2,7500,1,46875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-16 22:25:00,2024-02-16 23:00:00,MCX COPPER,723.85,724.4,7500,1,4125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-19 17:50:00,2024-02-19 23:05:00,MCX COPPER,721.8,720.3,7500,1,-11250.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-20 13:15:00,2024-02-20 17:16:00,MCX COPPER,718.85,721.1,7500,1,16875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-20 21:21:00,2024-02-20 23:00:00,MCX COPPER,722.9,725.5,7500,-1,-19500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-22 20:40:00,2024-02-22 23:00:00,MCX COPPER,725.25,726.65,7500,1,10500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-23 14:51:00,2024-02-23 23:00:00,MCX COPPER,723.5,724.3,7500,-1,-6000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-26 09:21:00,2024-02-26 23:01:00,MCX COPPER,728.3,725.7,7500,1,-19500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-27 10:12:00,2024-02-27 15:38:00,MCX COPPER,726.25,726.5,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-28 17:50:00,2024-02-28 23:00:00,MCX COPPER,724.2,726.35,7500,1,16125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-02-29 12:15:00,2024-02-29 23:00:00,MCX COPPER,728.2,726.6,7500,1,-12000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-01 18:22:00,2024-03-01 23:01:00,MCX COPPER,724.85,728.5,7500,1,27375.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-04 09:44:00,2024-03-04 13:15:00,MCX COPPER,726.7,730.7,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-04 15:00:00,2024-03-04 23:00:00,MCX COPPER,732.0,728.6,7500,1,-25500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-05 12:15:00,2024-03-05 17:46:00,MCX COPPER,727.8,729.05,7500,1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-05 19:10:00,2024-03-05 23:01:00,MCX COPPER,727.75,726.15,7500,-1,12000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-06 12:45:00,2024-03-06 19:17:00,MCX COPPER,726.7,730.7,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-07 15:35:00,2024-03-07 19:31:00,MCX COPPER,735.8,736.05,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-08 17:20:00,2024-03-08 19:00:00,MCX COPPER,736.55,732.55,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-11 11:54:00,2024-03-11 13:31:00,MCX COPPER,732.2,731.95,7500,-1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-11 21:55:00,2024-03-11 23:00:00,MCX COPPER,736.65,736.85,7500,1,1500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-12 18:00:00,2024-03-12 18:33:00,MCX COPPER,736.9,737.15,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-13 11:55:00,2024-03-13 12:55:00,MCX COPPER,738.9,739.15,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-13 15:15:00,2024-03-13 18:51:00,MCX COPPER,744.6,745.85,7500,1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-14 10:40:00,2024-03-14 11:37:00,MCX COPPER,753.1,749.1,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-14 11:55:00,2024-03-14 20:37:00,MCX COPPER,750.45,754.45,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-14 21:20:00,2024-03-14 23:00:00,MCX COPPER,751.0,752.3,7500,-1,-9750.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-15 17:35:00,2024-03-15 19:04:00,MCX COPPER,759.25,759.5,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-18 11:50:00,2024-03-18 19:15:00,MCX COPPER,760.4,765.65,7500,1,39375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-18 19:20:00,2024-03-18 21:40:00,MCX COPPER,765.9,766.15,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-22 17:48:00,2024-03-22 23:02:00,MCX COPPER,750.9,751.65,7500,-1,-5625.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-26 15:20:00,2024-03-26 23:01:00,MCX COPPER,759.45,758.45,7500,1,-7500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-28 11:15:00,2024-03-28 13:33:00,MCX COPPER,763.05,759.05,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-03-28 18:10:00,2024-03-28 23:00:00,MCX COPPER,759.5,760.4,7500,-1,-6750.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-01 15:01:00,2024-04-01 17:51:00,MCX COPPER,766.1,764.85,7500,-1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-02 16:26:00,2024-04-02 23:00:00,MCX COPPER,770.5,769.05,7500,-1,10875.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-03 14:15:00,2024-04-03 17:24:00,MCX COPPER,770.45,774.45,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-04 14:45:00,2024-04-04 17:08:00,MCX COPPER,798.5,798.75,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-04 22:40:00,2024-04-04 23:00:00,MCX COPPER,802.8,802.75,7500,1,-375.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-05 17:50:00,2024-04-05 20:38:00,MCX COPPER,797.9,801.9,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-08 17:00:00,2024-04-08 19:24:00,MCX COPPER,815.0,817.25,7500,1,16875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-08 20:00:00,2024-04-08 23:00:00,MCX COPPER,814.4,816.25,7500,-1,-13875.0,TimeExit
